"Index","Case","PredictedPrice","DifferenceUsd","DifferencePct","ModelVersion","RequestId"
"1","baseline","372953,43","0","0","0.4.0-rc1","manual-c1-3-sensitivity-m01"
"2","bedrooms_1","364817,2","-8136,23","-2,18","0.4.0-rc1","manual-c1-3-sensitivity-m01"
"3","bedrooms_8","349952,11","-23001,32","-6,17","0.4.0-rc1","manual-c1-3-sensitivity-m01"
"4","bedrooms_33_ood","349952,11","-23001,32","-6,17","0.4.0-rc1","manual-c1-3-sensitivity-m01"
"5","bathrooms_0","372953,43","0","0","0.4.0-rc1","manual-c1-3-sensitivity-m01"
"6","bathrooms_4","373751,99","798,56","0,21","0.4.0-rc1","manual-c1-3-sensitivity-m01"
"7","living_800","311554,05","-61399,38","-16,46","0.4.0-rc1","manual-c1-3-sensitivity-m01"
"8","living_3000","492682,61","119729,18","32,1","0.4.0-rc1","manual-c1-3-sensitivity-m01"
"9","living_6000","523447,49","150494,06","40,35","0.4.0-rc1","manual-c1-3-sensitivity-m01"
"10","grade_4","337727,55","-35225,88","-9,45","0.4.0-rc1","manual-c1-3-sensitivity-m01"
"11","grade_9","670524,19","297570,76","79,79","0.4.0-rc1","manual-c1-3-sensitivity-m01"
"12","grade_13","692178,07","319224,64","85,59","0.4.0-rc1","manual-c1-3-sensitivity-m01"
"13","waterfront_1","431728,31","58774,88","15,76","0.4.0-rc1","manual-c1-3-sensitivity-m01"
"14","view_4","498898,08","125944,65","33,77","0.4.0-rc1","manual-c1-3-sensitivity-m01"
"15","built_2014","380240,52","7287,09","1,95","0.4.0-rc1","manual-c1-3-sensitivity-m01"
"16","built_2030_ood","383286,98","10333,55","2,77","0.4.0-rc1","manual-c1-3-sensitivity-m01"
"17","renovated_2010","390198,08","17244,65","4,62","0.4.0-rc1","manual-c1-3-sensitivity-m01"
"18","zip_98115_only","373605,68","652,25","0,17","0.4.0-rc1","manual-c1-3-sensitivity-m01"
"19","lat_47_6974_only","502713,84","129760,41","34,79","0.4.0-rc1","manual-c1-3-sensitivity-m01"
"20","long_minus122_313_only","369588,43","-3365","-0,9","0.4.0-rc1","manual-c1-3-sensitivity-m01"
"21","zip_99999_ood","373605,68","652,25","0,17","0.4.0-rc1","manual-c1-3-sensitivity-m01"
"22","coordinates_0_0_ood","222451,18","-150502,25","-40,35","0.4.0-rc1","manual-c1-3-sensitivity-m01"
"23","tiny_low_grade","147871,37","-225082,06","-60,35","0.4.0-rc1","manual-c1-3-sensitivity-m01"
"24","luxury_plausible","7192756,39","6819802,96","1828,59","0.4.0-rc1","manual-c1-3-sensitivity-m01"
"25","near_minimum_structure_ood","107317,12","-265636,31","-71,23","0.4.0-rc1","manual-c1-3-sensitivity-m01"
