field,dataset,role,served_model,documentation_status,unit_or_encoding,availability_or_vintage,risk,decision
bedrooms,historical_and_future,physical_feature,yes,documented_in_api_schema,integer_count,available_at_inference,low,retain_in_served_physical_model
bathrooms,historical_and_future,physical_feature,yes,documented_in_api_schema,count_quarter_steps,available_at_inference,low,retain_in_served_physical_model
sqft_living,historical_and_future,physical_feature,yes,documented_in_api_schema,sqft,available_at_inference,low,retain_in_served_physical_model
sqft_lot,historical_and_future,physical_feature,yes,documented_in_api_schema,sqft,available_at_inference,low,retain_in_served_physical_model
floors,historical_and_future,physical_feature,yes,documented_in_api_schema,count_half_steps,available_at_inference,low,retain_in_served_physical_model
waterfront,historical_and_future,physical_feature,yes,documented_in_api_schema,binary_0_1,available_at_inference,low,retain_in_served_physical_model
view,historical_and_future,physical_feature,yes,documented_in_api_schema,ordinal_0_4,available_at_inference,low,retain_in_served_physical_model
condition,historical_and_future,physical_feature,yes,documented_in_api_schema,ordinal_1_5,available_at_inference,low,retain_in_served_physical_model
grade,historical_and_future,physical_feature,yes,documented_in_api_schema,ordinal_1_13,available_at_inference,low,retain_in_served_physical_model
sqft_above,historical_and_future,physical_feature,yes,documented_in_api_schema,sqft,available_at_inference,low,retain_in_served_physical_model
sqft_basement,historical_and_future,physical_feature,yes,documented_in_api_schema,sqft,available_at_inference,low,retain_in_served_physical_model
yr_built,historical_and_future,physical_feature,yes,documented_in_api_schema,year,available_at_inference,low,retain_in_served_physical_model
yr_renovated,historical_and_future,physical_feature,yes,documented_in_api_schema,year_or_0,available_at_inference,low,retain_in_served_physical_model
zipcode,historical_and_future,physical_feature,yes,documented_in_api_schema,five_digit_category,available_at_inference,medium,retain_with_geographic_coverage_warnings
lat,historical_and_future,physical_feature,yes,documented_in_api_schema,decimal_degrees,available_at_inference,medium,retain_with_geographic_coverage_warnings
long,historical_and_future,physical_feature,yes,documented_in_api_schema,decimal_degrees,available_at_inference,medium,retain_with_geographic_coverage_warnings
sqft_living15,historical_and_future,physical_feature,yes,partial_method_not_defined,sqft,as_of_date_not_documented,medium,retain_but_document_provenance_and_vintage
sqft_lot15,historical_and_future,physical_feature,yes,partial_method_not_defined,sqft,as_of_date_not_documented,medium,retain_but_document_provenance_and_vintage
id,historical,traceability,no,partial,identifier,available_after_record_creation,low,exclude_from_features
date,historical,temporal_order,no,partial,sale_date,observed_at_sale,low,use_for_temporal_split_only
price,historical,target,no,partial,USD_inferred_from_project,observed_after_sale,high_if_used_as_feature,target_only
