feature,historical_min,historical_max,future_min,future_max,future_below_historical_min,future_above_historical_max,future_outside_historical_1_99_pct
bedrooms,0.0,33.0,2.0,6.0,0,0,0
bathrooms,0.0,8.0,1.0,4.5,0,0,1
sqft_living,290.0,13540.0,750.0,4580.0,0,0,0
sqft_lot,520.0,1651359.0,1194.0,214750.0,0,0,1
floors,1.0,3.5,1.0,3.0,0,0,0
waterfront,0.0,1.0,0.0,1.0,0,0,1
view,0.0,4.0,0.0,4.0,0,0,0
condition,1.0,5.0,3.0,5.0,0,0,0
grade,1.0,13.0,5.0,10.0,0,0,0
sqft_above,290.0,9410.0,750.0,4580.0,0,0,1
sqft_basement,0.0,4820.0,0.0,1460.0,0,0,0
yr_built,1900.0,2015.0,1901.0,2015.0,0,0,2
yr_renovated,0.0,2015.0,0.0,2009.0,0,0,1
lat,47.1559,47.7776,47.2093,47.7748,0,0,2
long,-122.519,-121.315,-122.407,-121.744,0,0,2
sqft_living15,399.0,6210.0,850.0,3820.0,0,0,3
sqft_lot15,651.0,871200.0,1217.0,212137.0,0,0,1
