rank,feature,mean_absolute_shap,mean_signed_shap
1,lat,131437.72,-31658.29
2,sqft_living,72108.7,-24365.15
3,grade,66675.5,-27083.12
4,long,32020.75,-1287.38
5,sqft_lot,21175.38,-4197.82
6,yr_built,19340.56,-1698.29
7,sqft_living15,18601.08,1004.08
8,condition,13977.42,966.26
9,view,11310.87,1852.7
10,sqft_above,11117.11,-1687.6
11,zipcode,8668.37,1123.81
12,sqft_basement,7154.69,4004.05
13,waterfront,6248.59,6248.59
14,bathrooms,5065.9,-2174.34
15,sqft_lot15,4890.5,-1239.45
16,yr_renovated,3129.96,-1959.92
17,floors,3048.34,-280.96
18,bedrooms,2444.19,-778.33
